Extract timestamp:,2020-04-17 21:32 
Country:,United States
State:,n/a
Counties:,n/a
Actual cases sources:,JHU CSSE
Projected cases sources:,OW Model V3.0
Date,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21
Data Type,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected,Projected
Cumulative Confirmed Cases,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,172,217,336,450,514,708,"1,105","1,557","2,147","2,857","2,918","4,278","6,018","8,793","14,005","19,300","25,611","33,499","43,519","53,571","65,596","83,633","101,431","121,136","140,551","161,417","187,680","212,821","243,176","274,989","308,108","336,283","365,838","395,326","428,103","460,418","495,467","525,261","554,069","579,369","606,400","635,025","666,407","693,717","721,094","747,752","774,052","800,072","825,092","849,673","873,563","896,605","918,925","940,434","961,111","980,963","1,000,107","1,018,611","1,036,469","1,053,644","1,070,130","1,085,983","1,101,228","1,115,886","1,129,951","1,143,449","1,156,368","1,168,718","1,180,494","1,191,710","1,202,384","1,212,519","1,222,147","1,231,291","1,239,954","1,248,137","1,255,858","1,263,119"
New Confirmed Cases,1,0,1,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,8,6,23,20,31,68,45,119,114,64,194,397,452,590,710,61,"1,360","1,740","2,775","5,212","5,295","6,311","7,888","10,020","10,052","12,025","18,037","17,798","19,705","19,415","20,866","26,263","25,141","30,355","31,813","33,119","28,175","29,555","29,488","32,777","32,315","35,049","29,794","28,808","25,300","27,031","28,625","31,382","27,310","27,377","26,658","26,300","26,020","25,020","24,581","23,890","23,042","22,320","21,509","20,677","19,852","19,144","18,504","17,858","17,175","16,486","15,853","15,245","14,658","14,065","13,498","12,919","12,350","11,776","11,216","10,674","10,135","9,628","9,144","8,663","8,183","7,721","7,261"
Active Cases,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,16,22,40,59,86,153,197,312,422,485,671,"1,067","1,506","2,088","2,795","2,848","4,179","5,896","8,521","13,670","18,886","25,114","32,893","42,795","52,527","64,302","81,743","98,990","117,809","135,233","152,466","176,358","198,986","227,373","257,472","285,181","309,664","335,560","360,929","389,940","418,641","448,217","473,662","499,195","512,506","532,954","554,770","578,958","597,136","613,932","628,497","641,195","652,076","660,428","666,822","671,043","672,968","672,807","670,497","666,112","659,764","651,651","641,940","630,730","618,097","604,144","589,042","572,925","555,945","538,190","519,812","500,907","481,583","461,943","442,097","422,149","402,204","382,360","362,721","343,348","324,300","305,649","287,437"
